HomePrice,CensusTract
4528650,12117021205
3567676,12071001915
3621586,12011110327
3179441,12099007006
1946330,12099007743
3017817,12086006802
1922840,12087970500
1190000,12071080203
1744182,12099007008
1683263,12061050506
1448967,12021011209
1360000,12086000123
1401301,12099007603
1131520,12011042400
1119790,12086006104
1208352,12131950607
1250000,12011090403
1162039,12057010304
1027310,12005002200
1072553,12091023303
1025152,12086008207
976890,12011010503
990078,12087972000
844200,12086000123
912094,12087972800
885021,12081002008
924313,12086012702
841777,12011020318
847651,12011070318
837791,12086001104
741540,12115002401
748900,12091022300
774808,12081001911
555500,12086006105
813988,12011070211
729467,12087972000
813582,12011070314
799000,12117020703
751170,12011110326
640349,12011030902
692376,12117021318
705071,12011010800
749900,12086010624
714900,12101031601
597210,12099007909
636406,12086008209
635517,12011070314
695000,12086002402
610566,12011060121
636552,12011110361
549900,12086006004
665874,12086011105
635359,12086002001
605867,12057011522
562445,12033000801
600000,12001002221
551820,12011040602
638519,12011060504
591646,12081001104
629552,12071050324
547000,12057006103
614112,12099007909
600210,12011043001
570000,12115002742
699900,12099007778
547500,12099007838
525045,12095017115
602307,12086008207
561260,12087972200
523784,12086009048
598975,12086018003
590343,12011091000
600732,12011010604
251800,12086000410
524900,12011070315
502000,12086003710
528778,12031014421
511663,12099005949
546109,12115000405
535000,12031010107
436000,12086011206
495515,12099007616
467755,12086010302
543015,12011061004
459765,12115002401
520986,12086012401
512928,12061050905
516815,12086012801
510528,12087971401
515457,12085001601
486595,12086016501
461424,12109021408
501129,12017450308
461189,12086010212
517572,12087971600
453303,12086004205
486747,12011020314
549900,12053041502
449046,12086008502
487715,12011110345
437240,12083002503
438669,12021010426
502227,12021010436
496369,12086000715
480000,12011110362
428995,12086005506
350000,12086012502
488782,12086008503
307600,12103026908
494255,12099007772
426020,12011050900
494208,12086009060
449121,12095017020
491139,12101031603
480701,12086015102
34900,12029970103
479906,12097041501
466900,12086015400
447654,12099001918
414630,12031000600
423810,12086000612
418930,12111382127
459900,12103020201
435684,12095015501
452842,12031014419
460033,12086000905
409500,12017450703
465891,12086010502
415000,12057014119
446400,12021011212
470287,12086006003
445930,12011110364
390000,12086008504
395420,12086000509
459458,12086012501
394485,12029970104
454426,12086019100
449012,12011010102
425326,12086005701
365000,12011043002
455796,12011110360
388110,12057010106
595000,12011043002
442320,12057007200
439990,12086004205
439701,12086008703
406873,12011060607
374850,12011060203
410000,12033003610
415000,12086016401
872500,12109020908
415961,12011020315
371025,12086005407
427084,12101032010
391326,12021011108
368135,12086000308
428471,12103026101
388671,12071001922
372000,12011090103
398648,12071001918
416615,12031010104
371999,12086001205
421838,12086009040
450000,12086010010
415813,12011110364
400197,12095017015
410116,12086009906
358700,12075970600
406822,12086010400
376540,12103027501
357595,12086000408
590000,12069031316
392779,12053040913
429900,12057011528
340000,12086009811
387426,12071010420
373326,12057011008
402744,12011042302
386448,12086010198
400900,12071010307
396244,12009069100
394110,12105015600
357390,12086003917
373713,12086019902
386975,12031010104
347355,12011090200
390036,12069030702
341445,12029970101
396891,12011110344
639999,12086019802
360000,12086016401
375632,12011020311
359370,12086019000
360208,12105014005
385089,12033003312
387491,12071040136
365000,12101031205
343000,12115001903
358658,12035060218
335000,12089050507
381023,12101032014
341200,12089050203
328780,12086005403
356954,12103027327
338000,12086006715
327675,12086001006
373741,12103027501
346667,12086012900
376613,12086010803
353600,12095017114
339254,12095018800
325635,12087971300
347314,12081000810
525000,12086002710
368987,12057004500
363601,12086018100
369754,12057014121
320535,12086010205
325000,12103020106
333355,12069030702
362391,12115002740
300000,12105011836
350000,12086011104
359772,12057011008
349914,12005000204
313820,12086005410
357736,12011110100
331390,12011010202
356280,12011050306
311270,12086010017
310250,12086010017
357503,12111382202
349247,12099003300
353830,12095015300
352400,12011100400
342271,12101031701
337732,12073002206
352898,12011070205
306000,12033001800
305915,12086002403
315934,12086009305
350728,12115002741
347899,12095016411
350460,12003040101
249000,12129010208
299531,12057007001
316536,12001001817
296650,12086000311
345311,12099004820
320593,12031010107
35000,12029970104
329080,12099007006
291125,12131950303
335453,12097041501
349000,12086006503
298301,12081001204
327840,12086001004
288320,12103026300
333729,12099007842
329868,12071040122
350000,12086010010
220000,12021010428
332145,12099004815
329471,12117020402
282540,12041950100
308767,12115002737
495000,12086008906
314381,12086009040
280160,12031013522
294927,12015020204
279310,12086004000
321733,12073002507
302256,12099007724
300129,12099004005
283838,12086006713
321156,12019030205
316026,12086001003
276420,12117021201
321750,12031014414
291765,12086007805
270000,12099007772
294339,12097041502
319869,12086016800
273870,12086010019
349900,12111382016
315167,12011060113
